curr_total_commitment,curr_ibrd_commitment,curr_ida_commitment,id,regionname,countryname,prodline,lendinginstr,lendinginstrtype,projectstatusdisplay,project_name,board_approval_month,totalamt,countrycode,countryshortname,p2a_updated_date,theme1,totalcommamt,approvalfy,source,mjthemecode,teamleadname,boardapprovaldate,closingdate,url,proj_and_ln_country,mjtheme_namecode,p2a_flag,prodlinetext,idacommamt,ibrdcommamt,lendprojectcost,status,productlinetype,projectdocs,sector1.Name,sector1.Percent,country_namecode,supplementprojectflg,borrower,impagency,ln_country_id,ln_country_id_desc,grantamt,sector,sectorcode,sector_namecode,mjsector_namecode,sector2.Name,sector2.Percent,sector3.Name,sector3.Percent,theme_list,envassesmentcategorycode,theme2,themecode,theme_namecode,theme3,theme4
30,0,30,P120872,Eastern and Southern Africa,['Republic of Zambia'],PE,Specific Investment Loan,IN,Closed,Malaria Booster Project Additional financing,December,"30,000,000",['ZM'],Zambia,,Malaria!$!80!$!92,"30,000,000",2011,['IBRD'],"7,8,2,8",Monique Vledder,2010-12-09T00:00:00Z,,https://projects.worldbank.org/en/projects-operations/project-detail/P120872,['ZM'],"[{'name': 'Social dev/gender/inclusion', 'code': '7'}, {'name': 'Human development', 'code': '8'}, {'name': 'Public sector governance', 'code': '2'}, {'name': 'Human development', 'code': '8'}]",,IBRD/IDA,"30,000,000",0,"30,000,000",Closed,L,[],Health,96,30000000!$!ZM,Y,,,['ZM'],['Zambia'],,"[{'Name': 'Public Administration - Health'}, {'Name': 'Health'}]","['HG', 'HF']","[{'name': 'Public Administration - Health', 'code': 'HF'}, {'name': 'Health', 'code': 'HG'}]","[{'name': 'Health', 'code': 'HX'}, {'name': 'Health', 'code': 'HX'}]",Public Administration - Health,4.0,,,"[{'name': 'Human Development and Gender', 'code': '60', 'seqno': '9', 'percent': '90', 'theme2': [{'name': 'Health Systems and Policies', 'code': '63', 'seqno': '12', 'percent': '10', 'theme3': [{'name': 'Health System Strengthening', 'code': '631', 'seqno': '13', 'percent': '10'}]}, {'name': 'Disease Control', 'code': '62', 'seqno': '10', 'percent': '80', 'theme3': [{'name': 'Malaria', 'code': '622', 'seqno': '11', 'percent': '80'}]}]}, {'name': 'Social Development and Protection', 'code': '50', 'seqno': '6', 'percent': '5', 'theme2': [{'name': 'Social Inclusion', 'code': '51', 'seqno': '7', 'percent': '5', 'theme3': [{'name': 'Participation and Civic Engagement', 'code': '513', 'seqno': '8', 'percent': '5'}]}]}, {'name': 'Public Sector Management', 'code': '40', 'seqno': '1', 'percent': '6', 'theme2': [{'name': 'Public Administration', 'code': '43', 'seqno': '4', 'percent': '3', 'theme3': [{'name': 'Transparency, Accountability and Good Governance', 'code': '432', 'seqno': '5', 'percent': '3'}]}, {'name': 'Public Finance Management', 'code': '41', 'seqno': '2', 'percent': '3', 'theme3': [{'name': 'Public Expenditure Management', 'code': '411', 'seqno': '3', 'percent': '3'}]}]}]",B,"Public expenditure, financial management and procurement!$!5!$!27","92,27,67,57","[{'name': 'Participation and civic engagement', 'code': '57'}, {'name': 'Health system performance', 'code': '67'}, {'name': 'Public expenditure, financial management and procurement', 'code': '27'}, {'name': 'Malaria', 'code': '92'}]",Health system performance!$!10!$!67,Participation and civic engagement!$!5!$!57
16.76,0,0,P145764,Eastern and Southern Africa,['Republic of Zambia'],RE,Investment Project Financing,IN,Closed,Zambia:-Health Results Based Financing Project,December,0,['ZM'],Zambia,2020-11-09 00:00:00.0,Population and reproductive health!$!50!$!69,0,2011,['IBRD'],"8,8",Jumana N. Qamruddin,2010-12-07T00:00:00Z,10/31/2014 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P145764,['ZM'],"[{'name': 'Human development', 'code': '8'}, {'name': 'Human development', 'code': '8'}]",Y,Recipient Executed Activities,0,0,"16,760,000",Closed,L,[],Health,100,16760000!$!ZM,N,,,['ZM'],['Zambia'],,[{'Name': 'Health'}],['HG'],"[{'name': 'Health', 'code': 'HG'}]","[{'name': 'Health', 'code': 'HX'}]",,,,,"[{'name': 'Human Development and Gender', 'code': '60', 'seqno': '1', 'percent': '100', 'theme2': [{'name': 'Health Systems and Policies', 'code': '63', 'seqno': '2', 'percent': '100', 'theme3': [{'name': 'Reproductive and Maternal Health', 'code': '635', 'seqno': '3', 'percent': '50'}, {'name': 'Child Health', 'code': '637', 'seqno': '4', 'percent': '50'}]}]}]",C,Child health!$!50!$!63,"69,63","[{'name': 'Child health', 'code': '63'}, {'name': 'Population and reproductive health', 'code': '69'}]",,
0.835,0,0,P108882,Eastern and Southern Africa,['Republic of Zambia'],GM,Specific Investment Loan,IN,Closed,Extension of Kasanka Management System to Lavushi Manda National Park,November,0,['ZM'],Zambia,,Biodiversity!$!67!$!80,0,2011,['IBRD'],"11,11",Douglas J. Graham,2010-11-02T00:00:00Z,6/30/2014 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P108882,['ZM'],"[{'name': 'Environment and natural resources management', 'code': '11'}, {'name': 'Environment and natural resources management', 'code': '11'}]",,GEF Medium Sized Program,0,0,"1,910,000",Closed,L,[],"Other Agriculture, Fishing and Forestry",100,1908000!$!ZM,N,,,['ZM'],['Zambia'],,"[{'Name': 'Other Agriculture, Fishing and Forestry'}]",['AZ'],"[{'name': 'Other Agriculture, Fishing and Forestry', 'code': 'AZ'}]","[{'name': 'Agriculture, Fishing and Forestry', 'code': 'AX'}]",,,,,"[{'name': 'Environment and Natural Resource Management', 'code': '80', 'seqno': '3', 'percent': '100', 'theme2': [{'name': 'Environmental policies and institutions', 'code': '84', 'seqno': '6', 'percent': '33'}, {'name': 'Renewable Natural Resources Asset Management', 'code': '83', 'seqno': '4', 'percent': '67', 'theme3': [{'name': 'Biodiversity', 'code': '834', 'seqno': '5', 'percent': '67'}]}]}, {'name': 'Private Sector Development', 'code': '20', 'seqno': '1', 'percent': '100', 'theme2': [{'name': 'Jobs', 'code': '22', 'seqno': '2', 'percent': '100'}]}]",B,Environmental policies and institutions!$!33!$!82,"80,82","[{'name': 'Environmental policies and institutions', 'code': '82'}, {'name': 'Biodiversity', 'code': '80'}]",,
15,0,15,P120723,Eastern and Southern Africa,['Republic of Zambia'],PE,Adaptable Program Loan,IN,Closed,Road Rehabilitation and Maintenance Second Additional Financing,October,"15,000,000",['ZM'],Zambia,,Infrastructure services for private sector development!$!50!$!39,"15,000,000",2011,['IBRD'],"10,4",NIL,2010-10-14T00:00:00Z,,https://projects.worldbank.org/en/projects-operations/project-detail/P120723,['ZM'],"[{'name': 'Rural development', 'code': '10'}, {'name': 'Financial and private sector development', 'code': '4'}]",,IBRD/IDA,"15,000,000",0,"15,000,000",Closed,L,[],Rural and Inter-Urban Roads,100,15000000!$!ZM,Y,,,['ZM'],['Zambia'],,[{'Name': 'Rural and Inter-Urban Roads'}],['TI'],"[{'name': 'Rural and Inter-Urban Roads', 'code': 'TI'}]","[{'name': 'Transportation', 'code': 'TX'}]",,,,,"[{'name': 'Urban and Rural Development', 'code': '70', 'seqno': '4', 'percent': '84', 'theme2': [{'name': 'Rural Development', 'code': '72', 'seqno': '7', 'percent': '67', 'theme3': [{'name': 'Rural Infrastructure and service delivery', 'code': '723', 'seqno': '8', 'percent': '67'}]}, {'name': 'Urban Development', 'code': '71', 'seqno': '5', 'percent': '17', 'theme3': [{'name': 'Urban Infrastructure and Service Delivery', 'code': '711', 'seqno': '6', 'percent': '17'}]}]}, {'name': 'Private Sector Development', 'code': '20', 'seqno': '1', 'percent': '17', 'theme2': [{'name': 'Jobs', 'code': '22', 'seqno': '2', 'percent': '17', 'theme3': [{'name': 'Job Creation', 'code': '221', 'seqno': '3', 'percent': '17'}]}]}]",B,Rural services and infrastructure!$!50!$!78,"39,78","[{'name': 'Rural services and infrastructure', 'code': '78'}, {'name': 'Infrastructure services for private sector development', 'code': '39'}]",,
20,0,20,P107218,Eastern and Southern Africa,['Republic of Zambia'],PE,Development Policy Lending,AD,Closed,Poverty Reduction Support Credit (PRSC1),March,"20,000,000",['ZM'],Zambia,,Regulation and competition policy!$!17!$!40,"20,000,000",2010,['IBRD'],"2,2,1,2,4",NIL,2010-03-30T00:00:00Z,12/31/2010 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P107218,['ZM'],"[{'name': 'Public sector governance', 'code': '2'}, {'name': 'Public sector governance', 'code': '2'}, {'name': 'Economic management', 'code': '1'}, {'name': 'Public sector governance', 'code': '2'}, {'name': 'Financial and private sector development', 'code': '4'}]",,IBRD/IDA,"20,000,000",0,"20,000,000",Closed,L,[],Central Government (Central Agencies),50,20000000!$!ZM,N,,,['ZM'],['Zambia'],,"[{'Name': 'Law and Justice'}, {'Name': 'Public Administration - Social Protection'}, {'Name': 'Energy Transmission and Distribution'}, {'Name': 'Central Government (Central Agencies)'}]","['BC', 'LT', 'SG', 'BG']","[{'name': 'Law and Justice', 'code': 'BG'}, {'name': 'Public Administration - Social Protection', 'code': 'SG'}, {'name': 'Energy Transmission and Distribution', 'code': 'LT'}, {'name': 'Central Government (Central Agencies)', 'code': 'BC'}]","[{'name': 'Public Administration', 'code': 'BX'}, {'name': 'Social Protection', 'code': 'SX'}, {'name': 'Energy and Extractives', 'code': 'LX'}, {'name': 'Public Administration', 'code': 'BX'}]",Energy Transmission and Distribution,25.0,Public Administration - Social Protection,13.0,"[{'name': 'Public Sector Management', 'code': '40', 'seqno': '8', 'percent': '68', 'theme2': [{'name': 'Public Administration', 'code': '43', 'seqno': '12', 'percent': '42', 'theme3': [{'name': 'Transparency, Accountability and Good Governance', 'code': '432', 'seqno': '14', 'percent': '25'}, {'name': 'Administrative and Civil Service Reform', 'code': '431', 'seqno': '13', 'percent': '17'}]}, {'name': 'Public Finance Management', 'code': '41', 'seqno': '9', 'percent': '26', 'theme3': [{'name': 'Debt Management', 'code': '413', 'seqno': '11', 'percent': '17'}, {'name': 'Public Expenditure Management', 'code': '411', 'seqno': '10', 'percent': '9'}]}]}, {'name': 'Private Sector Development', 'code': '20', 'seqno': '4', 'percent': '117', 'theme2': [{'name': 'Jobs', 'code': '22', 'seqno': '7', 'percent': '100'}, {'name': 'Business Enabling Environment', 'code': '21', 'seqno': '5', 'percent': '17', 'theme3': [{'name': 'Regulation and Competition Policy', 'code': '212', 'seqno': '6', 'percent': '17'}]}]}, {'name': 'Economic Policy', 'code': '10', 'seqno': '1', 'percent': '17', 'theme2': [{'name': 'Fiscal Policy', 'code': '11', 'seqno': '2', 'percent': '17', 'theme3': [{'name': 'Fiscal sustainability', 'code': '111', 'seqno': '3', 'percent': '17'}]}]}]",,"Public expenditure, financial management and procurement!$!17!$!27","40,27,21,25,30","[{'name': 'Other public sector governance', 'code': '30'}, {'name': 'Administrative and civil service reform', 'code': '25'}, {'name': 'Debt management and fiscal sustainability', 'code': '21'}, {'name': 'Public expenditure, financial management and procurement', 'code': '27'}, {'name': 'Regulation and competition policy', 'code': '40'}]",Debt management and fiscal sustainability!$!33!$!21,Administrative and civil service reform!$!17!$!25
0.2979,0,0,P120902,Eastern and Southern Africa,['Republic of Zambia'],RE,Technical Assistance Loan,IN,Closed,Zambia: Institutionalizing Livestock Data Collection and Analysis in Zambia,March,0,['ZM'],Zambia,,Other rural development!$!100!$!79,0,2010,['IBRD'],"11,10",NIL,2010-03-18T00:00:00Z,9/14/2012 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P120902,['ZM'],"[{'name': '', 'code': '11'}, {'name': 'Rural development', 'code': '10'}]",,Recipient Executed Activities,0,0,"300,000",Closed,L,[],Fisheries,50,297900!$!ZM,N,,,['ZM'],['Zambia'],,"[{'Name': 'Livestock'}, {'Name': 'Fisheries'}]","['AF', 'AL']","[{'name': 'Livestock', 'code': 'AL'}, {'name': 'Fisheries', 'code': 'AF'}]","[{'name': 'Agriculture, Fishing and Forestry', 'code': 'AX'}, {'name': 'Agriculture, Fishing and Forestry', 'code': 'AX'}]",Livestock,50.0,,,"[{'name': 'Environment and Natural Resource Management', 'code': '80', 'seqno': '4', 'percent': '66', 'theme2': [{'name': 'Renewable Natural Resources Asset Management', 'code': '83', 'seqno': '5', 'percent': '66', 'theme3': [{'name': 'Biodiversity', 'code': '834', 'seqno': '6', 'percent': '33'}, {'name': 'Landscape Management', 'code': '835', 'seqno': '7', 'percent': '33'}]}]}, {'name': 'Urban and Rural Development', 'code': '70', 'seqno': '1', 'percent': '33', 'theme2': [{'name': 'Rural Development', 'code': '72', 'seqno': '2', 'percent': '33', 'theme3': [{'name': 'Land Administration and Management', 'code': '725', 'seqno': '3', 'percent': '33'}]}]}]",C,,79,"[{'name': 'Other rural development', 'code': '79'}]",,
75,0,75,P106596,Eastern and Southern Africa,['Republic of Zambia'],PE,Investment Project Financing,IN,Closed,ROAD REHABILITATION AND MAINTENANCE PROJECT PHASE II,October,"75,000,000",['ZM'],Zambia,,Other human development!$!1!$!70,"75,000,000",2010,['IBRD'],"10,4,8",NIL,2009-10-16T00:00:00Z,4/30/2016 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P106596,['ZM'],"[{'name': 'Rural development', 'code': '10'}, {'name': 'Financial and private sector development', 'code': '4'}, {'name': 'Human development', 'code': '8'}]",,IBRD/IDA,"75,000,000",0,"75,000,000",Closed,L,[],Rural and Inter-Urban Roads,90,75000000!$!ZM,N,"Ministry of Transport and Communications, National Road Fund Agency","Ministry of Works and Supply, National Council for Construction, Road Transport and Safety Agency",['ZM'],['Zambia'],,"[{'Name': 'Public Administration - Transportation'}, {'Name': 'Rural and Inter-Urban Roads'}]","['TI', 'TF']","[{'name': 'Public Administration - Transportation', 'code': 'TF'}, {'name': 'Rural and Inter-Urban Roads', 'code': 'TI'}]","[{'name': 'Transportation', 'code': 'TX'}, {'name': 'Transportation', 'code': 'TX'}]",Public Administration - Transportation,10.0,,,"[{'name': 'Urban and Rural Development', 'code': '70', 'seqno': '9', 'percent': '98', 'theme2': [{'name': 'Rural Development', 'code': '72', 'seqno': '12', 'percent': '97', 'theme3': [{'name': 'Rural Infrastructure and service delivery', 'code': '723', 'seqno': '13', 'percent': '97'}]}, {'name': 'Urban Development', 'code': '71', 'seqno': '10', 'percent': '1', 'theme3': [{'name': 'Urban Infrastructure and Service Delivery', 'code': '711', 'seqno': '11', 'percent': '1'}]}]}, {'name': 'Human Development and Gender', 'code': '60', 'seqno': '4', 'percent': '1', 'theme2': [{'name': 'Health Systems and Policies', 'code': '63', 'seqno': '5', 'percent': '1', 'theme3': [{'name': 'Adolescent Health', 'code': '636', 'seqno': '7', 'percent': '0'}, {'name': 'Health Service Delivery', 'code': '632', 'seqno': '6', 'percent': '1'}, {'name': 'Child Health', 'code': '637', 'seqno': '8', 'percent': '0'}]}]}, {'name': 'Private Sector Development', 'code': '20', 'seqno': '1', 'percent': '1', 'theme2': [{'name': 'Jobs', 'code': '22', 'seqno': '2', 'percent': '1', 'theme3': [{'name': 'Job Creation', 'code': '221', 'seqno': '3', 'percent': '1'}]}]}]",B,Infrastructure services for private sector development!$!3!$!39,"70,39,78","[{'name': 'Rural services and infrastructure', 'code': '78'}, {'name': 'Infrastructure services for private sector development', 'code': '39'}, {'name': 'Other human development', 'code': '70'}]",Rural services and infrastructure!$!96!$!78,
10,0,10,P110458,Eastern and Southern Africa,['Republic of Zambia'],PE,Specific Investment Loan,IN,Closed,Water Sector Performance Improvement Project - Additional Financing,April,"10,000,000",['ZM'],Zambia,,Administrative and civil service reform!$!15!$!25,"10,000,000",2009,['IBRD'],"8,2",Michael John Webster,2009-04-16T00:00:00Z,,https://projects.worldbank.org/en/projects-operations/project-detail/P110458,['ZM'],"[{'name': '', 'code': '8'}, {'name': 'Public sector governance', 'code': '2'}]",,IBRD/IDA,"10,000,000",0,"11,000,000",Closed,L,[],Water Supply,65,11000000!$!ZM,Y,,,['ZM'],['Zambia'],,"[{'Name': 'Sanitation'}, {'Name': 'Public Administration - Water, Sanitation and Waste Management'}, {'Name': 'Water Supply'}]","['WC', 'WF', 'WA']","[{'name': 'Sanitation', 'code': 'WA'}, {'name': 'Public Administration - Water, Sanitation and Waste Management', 'code': 'WF'}, {'name': 'Water Supply', 'code': 'WC'}]","[{'name': 'Water, Sanitation and Waste Management', 'code': 'WX'}, {'name': 'Water, Sanitation and Waste Management', 'code': 'WX'}, {'name': 'Water, Sanitation and Waste Management', 'code': 'WX'}]","Public Administration - Water, Sanitation and Waste Management",20.0,Sanitation,15.0,"[{'name': 'Urban and Rural Development', 'code': '70', 'seqno': '4', 'percent': '85', 'theme2': [{'name': 'Urban Development', 'code': '71', 'seqno': '5', 'percent': '85', 'theme3': [{'name': 'Urban Infrastructure and Service Delivery', 'code': '711', 'seqno': '6', 'percent': '85'}]}]}, {'name': 'Public Sector Management', 'code': '40', 'seqno': '1', 'percent': '15', 'theme2': [{'name': 'Public Administration', 'code': '43', 'seqno': '2', 'percent': '15', 'theme3': [{'name': 'Administrative and Civil Service Reform', 'code': '431', 'seqno': '3', 'percent': '15'}]}]}]",B,,25,"[{'name': 'Administrative and civil service reform', 'code': '25'}]",,
0.1998,0,0,P114091,Eastern and Southern Africa,['Republic of Zambia'],RE,Learning and Innovation Loan,IN,Closed,Lighting the way,December,0,['ZM'],Zambia,,Infrastructure services for private sector development!$!67!$!39,0,2009,['IBRD'],"10,4",Dana Rysankova,2008-12-30T00:00:00Z,4/29/2010 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P114091,['ZM'],"[{'name': 'Rural development', 'code': '10'}, {'name': 'Financial and private sector development', 'code': '4'}]",,Recipient Executed Activities,0,0,"270,000",Closed,L,[],Renewable energy,100,266050!$!ZM,N,,,['ZM'],['Zambia'],,[{'Name': 'Renewable energy'}],['LE'],"[{'name': 'Renewable energy', 'code': 'LE'}]","[{'name': 'Energy and Extractives', 'code': 'LX'}]",,,,,"[{'name': 'Urban and Rural Development', 'code': '70', 'seqno': '4', 'percent': '77', 'theme2': [{'name': 'Rural Development', 'code': '72', 'seqno': '7', 'percent': '55', 'theme3': [{'name': 'Rural Infrastructure and service delivery', 'code': '723', 'seqno': '8', 'percent': '55'}]}, {'name': 'Urban Development', 'code': '71', 'seqno': '5', 'percent': '22', 'theme3': [{'name': 'Urban Infrastructure and Service Delivery', 'code': '711', 'seqno': '6', 'percent': '22'}]}]}, {'name': 'Private Sector Development', 'code': '20', 'seqno': '1', 'percent': '22', 'theme2': [{'name': 'Jobs', 'code': '22', 'seqno': '2', 'percent': '22', 'theme3': [{'name': 'Job Creation', 'code': '221', 'seqno': '3', 'percent': '22'}]}]}]",C,Rural services and infrastructure!$!33!$!78,"39,78","[{'name': 'Rural services and infrastructure', 'code': '78'}, {'name': 'Infrastructure services for private sector development', 'code': '39'}]",,
10,0,10,P074445,Eastern and Southern Africa,['Republic of Zambia'],PE,Development Policy Lending,AD,Closed,Second Economic Management and Growth,May,"10,000,000",['ZM'],Zambia,,Debt management and fiscal sustainability!$!33!$!21,"10,000,000",2008,['IBRD'],"4,2,2,1",NIL,2008-05-20T00:00:00Z,12/31/2008 12:00:00 AM,https://projects.worldbank.org/en/projects-operations/project-detail/P074445,['ZM'],"[{'name': 'Financial and private sector development', 'code': '4'}, {'name': 'Public sector governance', 'code': '2'}, {'name': 'Public sector governance', 'code': '2'}, {'name': 'Economic management', 'code': '1'}]",,IBRD/IDA,"10,000,000",0,"10,000,000",Closed,L,[],Central Government (Central Agencies),49,10000000!$!ZM,N,,,['ZM'],['Zambia'],,"[{'Name': 'Other Non-bank Financial Institutions'}, {'Name': 'Rural and Inter-Urban Roads'}, {'Name': 'Agricultural markets, commercialization and agri-business'}, {'Name': 'Other Industry, Trade and Services'}, {'Name': 'Central Government (Central Agencies)'}]","['BC', 'YZ', 'YA', 'TI', 'FL']","[{'name': 'Other Non-bank Financial Institutions', 'code': 'FL'}, {'name': 'Rural and Inter-Urban Roads', 'code': 'TI'}, {'name': 'Agricultural markets, commercialization and agri-business', 'code': 'YA'}, {'name': 'Other Industry, Trade and Services', 'code': 'YZ'}, {'name': 'Central Government (Central Agencies)', 'code': 'BC'}]","[{'name': 'Financial Sector', 'code': 'FX'}, {'name': 'Transportation', 'code': 'TX'}, {'name': 'Industry, Trade and Services', 'code': 'YX'}, {'name': 'Industry, Trade and Services', 'code': 'YX'}, {'name': 'Public Administration', 'code': 'BX'}]","Other Industry, Trade and Services",13.0,"Agricultural markets, commercialization and agri-business",12.0,"[{'name': 'Public Sector Management', 'code': '40', 'seqno': '12', 'percent': '52', 'theme2': [{'name': 'Public Administration', 'code': '43', 'seqno': '16', 'percent': '26', 'theme3': [{'name': 'Transparency, Accountability and Good Governance', 'code': '432', 'seqno': '18', 'percent': '9'}, {'name': 'Administrative and Civil Service Reform', 'code': '431', 'seqno': '17', 'percent': '17'}]}, {'name': 'Public Finance Management', 'code': '41', 'seqno': '13', 'percent': '26', 'theme3': [{'name': 'Debt Management', 'code': '413', 'seqno': '15', 'percent': '17'}, {'name': 'Public Expenditure Management', 'code': '411', 'seqno': '14', 'percent': '9'}]}]}, {'name': 'Finance', 'code': '30', 'seqno': '8', 'percent': '16', 'theme2': [{'name': 'Financial Stability', 'code': '31', 'seqno': '9', 'percent': '16', 'theme3': [{'name': 'Financial Sector Integrity', 'code': '312', 'seqno': '11', 'percent': '8'}, {'name': 'Financial Sector oversight and policy/banking regulation & restructuring', 'code': '311', 'seqno': '10', 'percent': '8'}]}]}, {'name': 'Private Sector Development', 'code': '20', 'seqno': '4', 'percent': '117', 'theme2': [{'name': 'Jobs', 'code': '22', 'seqno': '7', 'percent': '100'}, {'name': 'Business Enabling Environment', 'code': '21', 'seqno': '5', 'percent': '17', 'theme3': [{'name': 'Investment and Business Climate', 'code': '211', 'seqno': '6', 'percent': '17'}]}]}, {'name': 'Economic Policy', 'code': '10', 'seqno': '1', 'percent': '17', 'theme2': [{'name': 'Fiscal Policy', 'code': '11', 'seqno': '2', 'percent': '17', 'theme3': [{'name': 'Fiscal sustainability', 'code': '111', 'seqno': '3', 'percent': '17'}]}]}]",,"Public expenditure, financial management and procurement!$!17!$!27","21,27,25,42","[{'name': 'International financial standards and systems', 'code': '42'}, {'name': 'Administrative and civil service reform', 'code': '25'}, {'name': 'Public expenditure, financial management and procurement', 'code': '27'}, {'name': 'Debt management and fiscal sustainability', 'code': '21'}]",Administrative and civil service reform!$!17!$!25,International financial standards and systems!$!16!$!42
18.5,0,0,P076320,Eastern and Southern Africa,['Republic of Zambia'],GE,Specific Investment Loan,IN,Closed,Zm: Increased Access to Electricity & ICT Services - GEF,May,0,['ZM'],Zambia,,Rural services and infrastructure!$!20!$!78,0,2008,['IBRD'],"4,11,11,10",Raihan Elahi,2008-05-20T00:00:00Z,,https://projects.worldbank.org/en/projects-operations/project-detail/P076320,['ZM'],"[{'name': 'Financial and private sector development', 'code': '4'}, {'name': 'Environment and natural resources management', 'code': '11'}, {'name': 'Environment and natural resources management', 'code': '11'}, {'name': 'Rural development', 'code': '10'}]",,Global Environment Project,0,0,"37,500,000",Closed,L,[],Central Government (Central Agencies),21,83500000!$!ZM,Y,Government of the Republic of Zambia,Rural Electrification Authority (REA),['ZM'],['Zambia'],,"[{'Name': 'Renewable Energy Wind'}, {'Name': 'Renewable Energy Solar'}, {'Name': 'Renewable Energy Geothermal'}, {'Name': 'Renewable Energy Biomass'}, {'Name': 'Central Government (Central Agencies)'}]","['BC', 'LB', 'LI', 'LU', 'LW']","[{'name': 'Renewable Energy Wind', 'code': 'LW'}, {'name': 'Renewable Energy Solar', 'code': 'LU'}, {'name': 'Renewable Energy Geothermal', 'code': 'LI'}, {'name': 'Renewable Energy Biomass', 'code': 'LB'}, {'name': 'Central Government (Central Agencies)', 'code': 'BC'}]","[{'name': 'Energy and Extractives', 'code': 'LX'}, {'name': 'Energy and Extractives', 'code': 'LX'}, {'name': 'Energy and Extractives', 'code': 'LX'}, {'name': 'Energy and Extractives', 'code': 'LX'}, {'name': 'Public Administration', 'code': 'BX'}]",Renewable Energy Biomass,17.0,Renewable Energy Geothermal,17.0,"[{'name': 'Environment and Natural Resource Management', 'code': '80', 'seqno': '9', 'percent': '60', 'theme2': [{'name': 'Environmental policies and institutions', 'code': '84', 'seqno': '12', 'percent': '20'}, {'name': 'Climate change', 'code': '81', 'seqno': '10', 'percent': '40', 'theme3': [{'name': 'Mitigation', 'code': '811', 'seqno': '11', 'percent': '40'}]}]}, {'name': 'Urban and Rural Development', 'code': '70', 'seqno': '4', 'percent': '34', 'theme2': [{'name': 'Rural Development', 'code': '72', 'seqno': '7', 'percent': '27', 'theme3': [{'name': 'Rural Infrastructure and service delivery', 'code': '723', 'seqno': '8', 'percent': '27'}]}, {'name': 'Urban Development', 'code': '71', 'seqno': '5', 'percent': '7', 'theme3': [{'name': 'Urban Infrastructure and Service Delivery', 'code': '711', 'seqno': '6', 'percent': '7'}]}]}, {'name': 'Private Sector Development', 'code': '20', 'seqno': '1', 'percent': '7', 'theme2': [{'name': 'Jobs', 'code': '22', 'seqno': '2', 'percent': '7', 'theme3': [{'name': 'Job Creation', 'code': '221', 'seqno': '3', 'percent': '7'}]}]}]",B,Environmental policies and institutions!$!20!$!82,"78,82,81,39","[{'name': 'Infrastructure services for private sector development', 'code': '39'}, {'name': 'Climate change', 'code': '81'}, {'name': 'Environmental policies and institutions', 'code': '82'}, {'name': 'Rural services and infrastructure', 'code': '78'}]",Climate change!$!40!$!81,Infrastructure services for private sector development!$!20!$!39
