section|content
health|service delivery, will continue to be 2.3.5 Water and Sanitation The country made progress towards increasing access to water and sanitation. The percentage of the population that had access to an improved water source increased to 72.3 percent in 2018 from 41.1 percent in 2007. With regard to sanitation, the percentage of households with access to an improved sanitation facility at national level increased to 54.4 percent in 2018 from 35.5 percent in 2007. In rural areas, access increased to 37.2 percent in 2018 from 17.3 percent in 2007, while in urban areas it increased to 77.7 percent from 70 percent over the same period. The improvement was attributed to consistent public sector investments in water and sanitation, coupled with support from cooperating and development partners (see Table 3: Access to Water and Sanitation (%), 2007-2018 Access to an Improved Water Source (Households) Access to an Improved Sanitation Facility (Households) Source: Zambia Statistics Agency
Socio-economic|transformation for improved livelihoods In spite of the gains made in improving access to water and sanitation in urban areas, the increase in unplanned settlements were a major drawback on Government efforts to provide safe water and adequate sanitation. There is, therefore, need to improve town and country planning and implement decentralisation that will entrench participatory planning with communities in various constituencies and wards. 2.3.6
Governance|Environment During the review period, the foundation was set for the implementation of decentralisation. To this end, the 2004 Decentralisation Policy was reviewed in 2013 to provide a clear direction on the mode of decentralisation with identified functions to be devolved. The Constitution of the Republic of Zambia (Amendment) Act No. 2 of 2016 under Articles 162 and 163 further strengthened decentralisation through devolution. In addition, the Local Government Act No. 2 of 2019 was enacted to provide a platform for citizen participation at sub-district level through Ward Development Committees (WDCs). This, notwithstanding, the pace of transferring devolved functions to the local authorities was slow. Only HIV and AIDS coordination and the management of district aerodromes were devolved. To improve the financial position of the councils as part of the decentralisation process, the Local Government Equalisation Fund was legislated in the Constitution of Zambia (Amendment) Act No. 2 of 2016 and a Debt Management
Strategy|developed. During the period 2022-2026, focus will be on actualising the country’s decentralisation agenda. According to the ranking on the Corruption Perception Index, Zambia’s performance dropped from 38 out of 100 in 2013 to 33 out of 100 in 2021. To curb corruption, integrity committees were established and electronic payment systems for Government services developed. Interventions to strengthen public finance internal controls were also implemented. Further, measures were implemented to improve efficiency in external audit processes and ensure timely audits and production of audit reports. In addition, efficiency was enhanced through the development of the automated Audit Management System. 2.4 KEY LESSONS LEARNT The review of the performance of previous NDPs provided valuable lessons that informed the formulation of the 8NDP. The following are some of the key lessons learnt: a) Actualisation of the decentralisation reform agenda is a necessary precondition for attainment of people- centred sustainable development; b) Weak alignment of annual budgets to outputs in the NDPs makes it difficult to achieve objectives and c) Improvement in the performance of NDPs is premised on the setting of realistic targets, given that it takes time for limiting factors, such as legislation, required financing, human resources and capacity enhancements to be actualised; d) Incorporating the participation of key stakeholders in time throughout the plan formulation process ensures ownership and contributes to successful plan implementation; EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 e) Prudent fiscal management is critical for economic development; f) Delays in the undertaking of legal reforms, including the processing of legislation negatively affects the achievement of planned objectives; g) Production of quality and timely statistical data as well as its use is important for effective monitoring and evaluation as well as informed policy decision-making; h) A strong monitoring and evaluation system is essential for timely tracking of progress as well for informing policy decision-making; Rigorous project appraisal processes are critical to ensure value for money; Targeting of programmes and projects to geographical locations and beneficiaries should be guided by demographic analysis and levels of deprivation; and k) Lack of risk management frameworks in the public sector undermines the capacity to respond in a timely manner when risks emerge, thereby negatively impacting the attainment of development results.
Socio-economic|transformation for improved livelihoods PART III:
MACROECONOMIC|POLICY FRAMEWORK EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 3.
MACROECONOMIC|POLICY OBJECTIVES The 8NDP was formulated against the backdrop of
macroeconomic|challenges worsened by the COVID-19 pandemic, leading to the contraction of the economy by 2.8 percent in 2020. However, in 2021, estimates indicated a real GDP recovery to 3.6 percent. Inflation declined to 16.4 percent at the end of 2021 from 19.2 percent at the end of 2020 against the medium-term target range of 6-8 percent. This decline was largely due to the appreciation of the exchange rate, partial dissipation of the shocks to food prices and improved supply of some food items, particularly maize. The fiscal deficit (including amortisation) was 9.0 percent of GDP in 2021 compared to 14.4 percent in 2020 on account of strong revenue collections, despite expenditure exceeding the target by 14.3 percent in 2020. Gross international reserves improved to US$2.8 billion (4.4 months of import cover) in 2021 from US$1.2 billion (2.4 months of import cover) in 2020 mainly boosted by the general allocation of SDR 937.6 million by the IMF. External debt, at US$13.04 billion dollars or 72 percent of GDP, remained unsustainable. 3.1
MACROECONOMIC|OBJECTIVES AND POLICIES During the Plan period, the Government seeks to restore
macroeconomic|stability by raising real GDP growth as well as attaining fiscal and debt sustainability to improve the livelihoods of the Zambian people, especially the vulnerable. Attaining this will require strong policy action and the implementation of structural reforms. Pursuant to the above, the
macroeconomic|objectives for the 8NDP are to: Achieve an annual real GDP growth rate of at least 4.5 percent by 2026; Reduce the fiscal deficit to 3.6 percent of GDP by 2026; Maintain an annual domestic revenue to GDP ratio of at least 21 percent; Contain domestic borrowing to less than 4.8 percent of GDP by 2026; Dismantle domestic arrears and curtail accumulation of new arrears; Reduce and maintain inflation within the target range of 6-8 percent; Maintain international reserves of at least 3 months of import cover; and Reduce the external debt to 60 percent of GDP and ensure sustainability. Refer to Table 4 for key
macroeconomic|targets, including the real GDP growth rate, inflation and domestic Table 4: Key
Macroeconomic|Indicators, 2022-2026 Key Performance Indicator Real GDP growth rate (%) GDP at constant prices (ZMW GDP at market prices (ZMW millions CPI* inflation (%, end period) Domestic borrowing (% of GDP) Domestic revenue (% of GDP) Overall fiscal deficit (% of GDP) Gross international reserves (months *Note that all baseline data is preliminary with the exception of CPI inflation and gross international reserves *CPI: Consumer Price Index
Socio-economic|transformation for improved livelihoods 3.2
MACROECONOMIC|POLICIES 3.2.1 Achieving Higher and
Inclusive Growth|The policy over the Plan period is to improve living standards as well as to reduce poverty and inequality by creating conditions for strong and
inclusive growth|. This is anchored on Economic Transformation and Job Creation through implementation of interventions to enhance production and productivity in the
agriculture|, tourism, mining and manufacturing sectors. Further, the Government will pursue an export- oriented economic transformation agenda. 3.2.2 Fiscal Policy and Reforms To achieve fiscal sustainability, a combination of measures, including enhancements in domestic resource mobilisation, expenditure rationalisation and debt restructuring, will be pursued. Key interventions in tax policy will include enhancing compliance while streamlining the structure of tax incentives to support economic transformation. The capacity of local authorities will also be strengthened to enhance revenue collection. Total expenditure (including amortisation) is projected to reduce to 30.0 percent of GDP in 2026 from 33.9 percent in 2021 This will largely be attained through significant reforms on subsidies, particularly in the
energy|and
agriculture|sectors, as well as rationalising spending on capital projects with emphasis on public private partnership (PPP) due to fiscal constraints. In this regard, the focus will be on reducing the pace of debt accumulation to attain long-term debt sustainability. 3.2.3 Debt Management
Strategy|During the Plan period, the Government will revise the Loans and Guarantees (Authorisation) Act of 1969 to enhance transparency in debt management and provide for parliamentary oversight in the contraction of loans. Further, a Medium-Term Debt Management
Strategy|covering the period 2023 to 2025 will be developed for the country to return to sustainable debt levels. Under domestic debt, the focus will be on the issuance of longer-dated instruments, taking into account market conditions and costs to reduce the refinancing risk. With regard to external debt, the Government will seek to restructure debt under the auspices of the G20 Common Framework on Debt Treatment. 3.2.4 Dismantling of Domestic Arrears The Government has prioritised the dismantling of domestic arrears and will, therefore, develop an arrears dismantling
strategy|to be implemented over the Plan period. The
strategy|will address the existing stock of arrears relating to personal emoluments, bills for consumption of public utilities, value-added tax (VAT) refunds, FISP, crop purchases under the Food Reserve Agency, pension benefits, awards and compensation, capital expenditure on civil works including road construction, as well as that of other suppliers of goods and services. Further, arrears on fuel and electricity (debt to independent power producers and power imports) which are foreign currency-denominated will be addressed through this
strategy|. EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 The key measures of the
strategy|include increasing budgetary allocations to liquidate the arrears, undertaking debt and/or cheque swaps, debt refinancing and restructuring, as well as halting or slowing down the pace of accumulation of new arrears. The aim is to clear all domestic arrears within the medium 3.2.5 Monetary and Financial Sector Policies During the Plan period, monetary and financial sector policies will aim at maintaining price and financial system stability which are critical to promoting sustainable growth. Monetary policy will continue to rely on the forward-looking monetary policy framework anchored on the Policy Rate as a key signal of the policy To ensure financial system stability, the Bank of Zambia will strengthen both micro and macro-prudential regulations and supervision to mitigate the build-up in vulnerabilities and risks to the financial system. In addition, a Deposit Protection Scheme and Problem Bank Framework will be implemented. The Government will also repeal and replace the Bank of Zambia Act of 1996 during the Plan period to strengthen central bank autonomy and enhance monetary policy credibility in line with the Constitutional (Amendment) Act No. 2 of 2016 and the adoption of the SADC Central Bank Model Law. 3.2.6 External Sector Policies During the 8NDP period, the Government will continue to promote exports as a
strategy|for long-term economic growth. In addition to increasing traditional exports of commodities such as copper, widening the export base of non-traditional exports will be the focus to increase export earnings. This
strategy|will positively impact the country’s international competitiveness, buttress the stability of the exchange rate and ensure current account sustainability. In this regard, focus will be on expanding export earnings from various sectors, especially mining,
agriculture|, manufacturing and tourism. Further, the Government will continue facilitating and formalising trade with neighbouring countries. With regard to the exchange rate policy, a flexible system will be maintained while mitigating excessive volatility. To maintain reserves to at least three months of import cover, the Government will, in addition to promoting increased exports, continue with the policy requiring all mining companies to pay their tax obligations in United States dollars. Further, the Bank of Zambia will continue to build up its stock of gold bullion as part of the interventions to increase foreign reserves, through the purchase of locally-mined gold. 3.3 KEY REFORMS TO SUPPORT THE
MACROECONOMIC|OBJECTIVES Over the Plan period, the Government will implement the following reforms to achieve the set
macroeconomic|a) Strengthen public finance management: This will be central to restoring budget credibility, improving the efficiency of public expenditures, and supporting private sector-led growth. The goals of public finance management are to enhance domestic resource mobilisation, increase the efficiency of public expenditure, halt the accumulation of arrears and improve fiscal transparency. The Government will also ensure adherence to the legal provisions and guidelines on public investment management as well
Socio-economic|transformation for improved livelihoods as the enforcement of the penalty regime in both the Public Finance Management Act and the Public b) Establish a fiscal risk management framework: In light of slowing growth, tighter fiscal conditions, and the high debt burden, the Government will closely monitor fiscal risks by developing a risk monitoring framework to anticipate expenditure pressures and revenue shocks. c) Strengthen the legal framework for public-private partnership (PPP): To leverage on PPP financing for developmental projects, the Public-Private Partnership Act No. 14 of 2009 will be revised to, among others, strengthen the framework for managing fiscal risks, such as fiscal commitments and potential contingent liabilities. In addition, Government will work on improving the management of unsolicited proposals as well as PPPs being implemented by state-owned enterprises (SOEs). These changes are intended to support the delivery of cost-effective and sustainable infrastructure projects. d) Undertake Farmer Input Support Programme (FISP) reforms: To improve support for small-scale farmers and create conditions for them to more effectively contribute to the growth of the
agriculture|sector, the Government will implement a comprehensive
agriculture|support programme (CASP) beginning in the 2022/2023 farming season aimed at improving production and productivity. The scope of the comprehensive programme will include provision of inputs through the electronic agro-input system, extension service support, access to finance, support to value-addition, storage and logistics as well as the provision of inputs through the electronic agro-input system. It will also address the challenges experienced with the current FISP which is cost-inefficient, and falls short on effective targeting and equitable treatment of beneficiaries. e) Undertake
energy|sector reforms: To improve performance of the
energy|sector, the Government will implement reforms to remove the inefficiencies in the fuel supply chain by among others, supplying fuel through pipelines and undertaking procurement reforms to standardise supply contract prices. In the electricity sub-sector, reforms will focus on enhancing the operational efficiency of ZESCO Limited including its cost structure. f) Strengthen performance of state-owned enterprises (SOEs): To ensure a return on investment and improve the contribution of SOEs to the economy, the Government will provide a clear policy and sound legal and regulatory framework for SOEs. The SOE Policy will be revised and a law enacted to strengthen institutional arrangements and adherence to best practices in corporate
governance|, thereby providing for their sustainable performance. Supervision and performance monitoring of SOEs and collaboration among relevant key stakeholders will be strengthened. This will ultimately improve the overall
performance of SOEs|and minimise fiscal outlays from the Treasury. g) Strengthen fiscal decentralisation: The design of the fiscal decentralisation architecture will focus on strengthening prudent utilisation of resources, domestic revenue mobilisation, debt sustainability, sub- national borrowing and provision of inter-governmental transfers (between central and local government) that are sufficiently large and flexible to influence aggregate demand and service provision at the local level. The Government will also develop effective mechanisms on revenue sharing between central government and local authorities. These reforms will anchor the Extended Credit Faciltiy Programme with the International Monetary Fund and assist in restructuring of external debt, resulting in improved investor confidence and availability of affordable international financing. It will also be expected to unlock financing from cooperating and development partners and enable the country to access concessional financing for budget support. EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026
Socio-economic|transformation for improved livelihoods PART III: 8NDP TOWARDS THE NATIONAL VISION EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 4.0 TOWARDS THE VISION 2030 4.1. OVERVIEW OF THE VISION 2030 Zambia aspires to become “A Prosperous Middle-Income Nation by 2030”. As such by 2030, Zambians look forward to live in a strong, dynamic, competitive and self-sustaining middle-income industrialised country, which is resilient to external shocks and provides opportunities for improving the wellbeing of all. The Vision coincides with the 2030 Agenda for Sustainable Development, which aims to end poverty, fight inequality and injustice and tackle climate change through the pursuance of the Sustainable Development Goals (SDGs). By 2030, the country should have made substantial progress towards the attainment of these global goals. The 8NDP, therefore, provides an avenue for catalysing the nation’s response to addressing the developmental challenges over the 2022-2026 period in the quest to attain the Vision 2030, SDGs and other regional and international commitments. By the end of this decade, the economy is expected to be diversified with a balanced and cohesive industrial sector which has strong linkages in the primary, secondary and tertiary sectors. Technologically, proficiency should have been harnessed by optimising human and natural resources. Additionally, the country’s population, especially the youth should have strong entrepreneurial capabilities, be self-reliant, outward looking and enterprising, and be able to take advantage of the potential and available opportunities for
socio-economic|development. Further, the country is envisaged to be economically, socially and politically integrated within the sub-region, Africa and the rest of the world. Internally, a shared destiny, unity in diversity and patriotism will equitably integrate all citizens in a democratic
governance|system that is devolved to the sub-national levels. The preservation of social, cultural and moral values of the Zambian society will also be key to attainment of the
socio-economic|development aspired for in the Vision 2030. 4.2 MOVING TOWARDS THE VISION 2030: WHAT IT WILL TAKE Progress was made towards attainment of the
socio-economic|development objectives of the Vision 2030 during the implementation of the FNDP, SNDP and 7NDP. However, the progress achieved so far has not been sufficient to enable the country realise the Vision. Therefore, there is need to accelerate progress, during the 8NDP period, through the implementation of wide ranging reforms and interventions to build on the achievements of the previous NDPs and address the constraints impeding development. To this end, the following strategic development areas will be pursued in the 8NDP: a) Economic Transformation and Job Creation: Economic transformation will be anchored on industrialisation with a focus on value-addition in
agriculture|, mining and manufacturing which have strong local forward and backward linkages. Focus within the manufacturing sector will be on light manufacturing which is characterised by operations that have low capital requirements, are labour- intensive, and produce goods for final consumption. Priority will also be given to job-rich sectors such as tourism. Further, focus will be placed on the development of micro, small and medium enterprises (MSMEs) across all sectors as they have high income and job creation potential.
Socio-economic|transformation for improved livelihoods The economic transformation agenda will be led by the private sector while the Government will provide an enabling and supportive environment through the delivery of requisite policies, regulations and infrastructure. These interventions will result in increased productivity and the creation of employment opportunities, especially for the youth and women. Further, the economic transformation agenda will ultimately build the economy’s resilience to both external and domestic shocks. b) Human and Social Development: Human development entails having a well-educated, highly skilled and
health|y labour force to propel Zambia to become a thriving and industrialised nation as espoused in the Vision 2030. Thus, during the 8NDP period, interventions will focus on increasing access to, and improving the quality of
education|,
health|and water and sanitation, as well as enhancing social protection. This will contribute to the reduction in poverty and inequality. c) Environmental Sustainability: In pursuit of the economic transformation agenda, it is imperative that development pathways are sustainable. This entails the sustainable utilisation of natural resources which are the basis for wealth creation, as well as building resilience to the adverse effects of climate change. Thus, measures aimed at promoting green growth, safeguarding the environment and natural resources, enhancing climate change mitigation and adaptation, as well as strengthening disaster risk reduction, have been prioritised. d) Good
Governance|Environment: Good
governance|entails creating a conducive environment characterised by participation, rule of law, transparency, accountability, consensus-building, responsiveness, equity and inclusiveness, effectiveness and efficiency. In this regard, during the 8NDP period, focus will be on improving the policy and
governance|environment as well as on promoting adherence to the rule of law and constitutionalism. The strategic development areas of the 8NDP outlined above are set to drive the country towards the attainment of the Vision 2030 aspirations. Economic Transformation and Job Creation will be the key strategic development area, with the other strategic development areas ultimately supporting the country’s economic transformation agenda. Figure 12 shows the linkages between the 8NDP and the Vision 2030. EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 Figure 12: Situating the 8NDP in the Vision 2030
ENERGY|"| TRANSPORT & LOGISTICS | TECHNOLOGY | WATER | INFRASTRUCTURE | SKILLS AN INDUSTRIALISED MIDDLE-INCOME COMPETITIVE ECONOMY"
Socio-economic|transformation for improved livelihoods PART IV: THE STRATEGIC DEVELOPMENT AREAS OF THE 8NDP EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 5. STRATEGIC DEVELOPMENT AREA 1: ECONOMIC TRANSFORMATION AND JOB CREATION The economy is characterised by low diversification and high unemployment levels. As evidenced by the top three sector concentration ratio for the period 2017 to 2020, wholesale and retail trade, mining and quarrying as well as construction, were the dominant sectors which accounted for almost 50 percent of GDP. Whereas the average contribution of the
agriculture|, manufacturing and tourism sectors, with high potential for job creation, was only 11.8 percent over the same period. It is, therefore, the focus of the country to attain economic transformation that will be marked by advancements in industrialisation and economic diversification for sustained growth driven by the
agriculture|, mining, manufacturing and tourism sectors. This will entail shifting labour and other resources from low to higher productive activities between and within sectors. Ultimately, this will increase employment opportunities for all Zambians. To ensure sustainable economic transformation and resilience of the economy, measures will be undertaken to transition Zambia to a modern green and resource efficient economy. 5.2 CURRENT SITUATION
Agriculture|, mining, manufacturing and tourism are key drivers upon which the country’s economic transformation and growth agenda is anchored. These sectors also account for a significant proportion of Currently, the
agriculture|sector provides livelihood to more than 70 percent of Zambia’s population. In terms of performance, in the ten-year period between 2011 and 2020, agricultural growth averaged 0.4 percent while its share of GDP was 5.8 percent. The sector growth was lower than the annual national population growth rate of 2.8 percent, in spite of it being the mainstay of a large proportion of the population. Implicitly, the incomes of households that are dependent on this sector have been declining. Further, the sector has been characterised by low productivity, limited mechanisation and is largely rainfall dependent. Growth in the mining sector between 2011 and 2020 averaged 2.5 percent and its contribution to GDP averaged 14.8 percent. The sector, however, has been characterised by low diversification; limited exploration and exploitation; low participation and productivity of small-scale miners; high levels of informality and low value-addition to mineral endowments, particularly in non-copper mining activities. Additionally, export diversification remains low, with traditional exports largely comprising copper which on average accounts for more than 70 percent of total exports. This situation justifies the strong need to increase investments, especially for non-traditional minerals, as a means of transforming the economy and creating more jobs. Over the 2011-2020 period, the manufacturing sector recorded an average growth rate of 4.8 percent, albeit with fluctuations, and its share of GDP averaged 7.2 percent. However, the sector has been characterised by low-value manufactured products and rudimentary value and supply chains that are vulnerable to shocks. In the last decade, the sector has been dominated by the food and beverage sub-sector which accounted for 32.5 percent share of total manufacturing, followed by base metals at 29.4 percent, making a case for the need to transform the sector by increasing the manufacturing of high-value products. Thus, increased investment in manufacturing will promote strong backward and forward linkages with other sectors such as
agriculture|and mining which are key catalysts for higher and sustainable economic growth and job creation
Socio-economic|transformation for improved livelihoods The tourism sector grew by an average of 3.1 percent and its share of GDP was 1.5 percent over the 2011-2020 period. Tourism has begun to take prominence in the economy as one of the significant sources of employment, accounting for 15.7 percent of employment in 2019. However, the sector was one of the hardest hit by COVID-19 due to travel restrictions, resulting in a 26 percent contraction in the growth rate in 2020. There is, therefore, need to revive the sector by encouraging domestic tourism as well as addressing the challenges of low product diversification, low investment, poor infrastructure and the high cost of doing Economic transformation requires a holistic approach to addressing the multi-faceted constraints that face key sectors of the economy. The major constraints to economic transformation and job creation continue to be low diversification and industrialisation, low citizen participation and low private sector competitiveness as well as low access to affordable finance. Diversification and industrialisation are constrained by inadequate infrastructure in economic sectors such as transport,
energy|,
agriculture|and ICT, especially in rural areas. This contributes to the high cost of doing business and ultimately affects productivity and the competitiveness of the economy. In addition, inadequate access to productive resources, especially low-cost financing, adversely impacts efforts to industrialise and diversify the economy at the desired rate. Further, limited research and development, coupled with low use of applied research and innovation have compounded the low rate of industrialisation and diversification. Effective citizens’ participation in economic activities is hampered by low savings rate, casualisation, poor credit culture, high cost of borrowing that limits access to finance, and inadequate capacities in the development of bankable proposals. Other challenges include lack of skilled labour, low entrepreneurial and vocational skills as well as inadequate apprenticeship programmes for the youth. Despite the Government’s efforts to address these constraints, poor implementation of empowerment programmes characterised by inadequate business support services and poor loan recovery, has hindered progress. This is exacerbated by high levels of informality, limiting access to auxiliary support services. Policy inconsistency continues to be a constraint to private sector competitiveness. This has impacted long- term investment decisions by the private sector, especially in the mining and
agriculture|sectors, specifically in relation to taxation and export trade policies. Other constraints include high set-up costs, multiplicity of regulatory fees and licenses, and prolonged processes for accessing licenses and permits, land titling and electricity connection. Weak market information systems also limit the ability of the private sector to fully take advantage of domestic and international markets. Inadequate uptake and failure to meet standardisation, quality assurance and sanitary and phytosanitary requirements, particularly in international markets, coupled with inefficiencies at key border posts, which result in delays in clearing goods, all negatively impact the competitiveness of To overcome these constraints, strategies and programmes aimed at achieving a diversified and industrialised economy, enhancing citizenry participation and promoting private sector competitiveness will be implemented during the 8NDP period. EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 5.4
DEVELOPMENT OUTCOME|1: AN INDUSTRIALISED AND DIVERSIFIED ECONOMY Creation of an industrialised and diversified economy is a key
development outcome|of the 8NDP. To this end, the Government will implement a number of strategies. These will include increasing agricultural production and productivity; promoting mining of traditional and non-traditional minerals; promoting value- addition and manufacturing; as well as promoting tourism growth. Other strategies will include enhancing generation, transmission and distribution of electricity; diversifying to other renewable as well as clean alternative
energy|sources; enhancing management of petroleum products; improving transport and logistics; upscaling the provision of industry-relevant skills; investing in applied research and development; enhancing digital capacity; and strengthening management and productive use 5.4.1
Strategy|1: Increase Agricultural Production and Productivity The Government will aim to increase production and productivity in the
agriculture|sector. To this end, the Government will create an enabling environment for private sector growth in the
agriculture|sector by providing a stable trade policy with emphasis on easing of restrictions on exports of agricultural commodities and facilitating access to finance. Additionally, a robust comprehensive
agriculture|support programme will be implemented beginning from the 2022/2023 farming season. The programme will encompass the provision of inputs through the electronic agro-input system as well as extension service support, support for value- addition, storage and logistics. Further, the programme will provide for better targeting and equity across beneficiaries. Tree crop production and irrigation development will also be promoted. To support increased production in the sector, research and development will be prioritised, particularly in the development of improved varieties and breeds of crops including tree crops, livestock and fish. To increase hectarage under production and enhance productivity, agricultural mechanisation will be promoted. The Government will also promote farm block development with special focus on diversification of crops and expansion of the livestock and fisheries sub-sectors. The farm block concept entails the creation of specialised agricultural production and processing zones. Resettlement schemes will also be developed as centres for agricultural production. Interventions in fisheries will aim at promoting investments for increased fingerling production and establishing and operationalising fish breeding and freezing centres, as measures to bridge the domestic fish deficit and expand into the regional market. Livestock production will be enhanced through establishing community- managed livestock service centres, provincial livestock insemination centres and veterinary laboratories. The Government will also devolve veterinary services to improve efficiency in the livestock sub-sector. These interventions are expected to result in an agricultural growth rate of at least 10 percent per annum over the Plan period. Over the same period, agricultural exports are also expected to increase to above US$2 billion by 2026 from US$756.2 million in 2021.
Socio-economic|transformation for improved livelihoods a) Infrastructure development b) Agricultural mechanisation c) Farmer input support d) Agroforestry and tree crops development e) Agribusiness development f) Irrigation development g) Fisheries and aquaculture development h) Research and development Livestock development Extension services support k) Early warning and surveillance systems Farm block and resettlement schemes development 5.4.2
Strategy|2: Promote Traditional and Non-Traditional Minerals Promotion of traditional and non-traditional minerals will be achieved through the opening up of new mines and increasing production in existing ones. For copper, the aim is to increase production to 3 million metric tonnes by 2032. To contribute to the diversification of the mining sector, exploration and exploitation of minerals such as gold, gemstones and manganese as well as petroleum resources will be promoted. For the country to tap into regional and global markets and value chains, local beneficiation and value addition to minerals will be encouraged. This will be done through a national supplier development policy that will be developed to promote local value-addition and participation of local players in the mining supply chain. Key to this will be the promotion of both domestic and foreign direct investment in the production of batteries, electric motor vehicles and renewable energies. The Government will also encourage the formation of cooperatives among artisanal and small-scale miners as well as facilitate access to support services to enhance their productivity, including linkages to value chains. This will open up opportunities for the youth, men and women at community level to participate in mining value chains in a more formalised and structured arrangement. With these interventions it is expected that by 2026, copper output will increase to 1.5 million metric tonnes from 868,000 metric tonnes in 2020. The value of mineral exports (excluding copper and cobalt) is expected to increase to at least US$1 billion by 2026. a) Mineral and petroleum exploration and exploitation b) Mineral tax and mining reforms c) Mineral beneficiation and value-addition d) Artisanal and small-scale mining development EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 5.4.3
Strategy|3: Promote Value-Addition and Manufacturing To successfully diversify and industrialise, the Government will implement interventions aimed at accelerating growth in the manufacturing sector. Among them will be ensuring increased local content and investment for value-addition to products from the
agriculture|, forestry and mining sectors as well as trade facilitation. Focus within the manufacturing sector will be on light manufacturing which is characterised by operations that are less capital intensive but more labour intensive. The value chains that will be prioritised include processed foods, engineering, wood and wood products, textiles, leather and leather products, metallic and non-metallic mineral beneficiation and value-addition, and pharmaceuticals. The Government will also promote the development and operationalisation of multi-facility economic zones and industrial parks including through the provision of appropriate incentives. With these interventions, the target is to attain an average annual growth rate of at least 5 percent for the manufacturing sector over the Plan period. The share of manufactured goods in total non-traditional exports is also expected to increase to 55 percent in 2026 from 44 percent in 2020. a) Value chain development c) Investment promotion d) Multi-facility economic zones and industrial parks 5.4.4
Strategy|4: Promote Tourism Growth The Government will revamp the tourism sector and support its recovery from the COVID-19 pandemic, as it presents opportunities for job creation for local communities through activities such as traditional ceremonies, basketry, local cuisine promotion, curio-making, music and dance. The focus will be on the development of the Northern and Southern Circuits, particularly around Kasaba Bay and Liuwa National Park. This will be done through the development of infrastructure, coupled with a supportive regulatory and licencing framework to attract private investment. Further, the Government will promote the hosting of meetings, international conferences and events leveraging on recent infrastructure developments, such as the upgraded airports including the Kenneth Kaunda and Simon Mwansa Kapwepwe International Airports, as well as increased hotels and conferencing facilities. With these interventions, it is expected that the tourism sector will register an average annual growth rate of at least 4.5 percent over the Plan period, from an annual average of 3.1 percent recorded for the 2011-2020 period. The number of international tourist arrivals per year is expected to increase to 3 million by 2026 from 501,606 in 2020. Visits to national parks and tourism sites by domestic tourists are targeted to increase to 100,000 and 300,000 from 22,720 and 90,370 in 2020, respectively.
Socio-economic|transformation for improved livelihoods a) Infrastructure development b) Tourism product development c) Tourism promotion and marketing d) Wildlife management 5.4.5
Strategy|5: Improve Transport and Logistics Improvements will be made in the transport and logistics sub-sectors, with the focus on positioning the country as a regional transport and logistics hub. This will be done through the maintenance, development, modernisation and integration of road, rail, air and water transport infrastructure. This will also contribute to the opening up of rural areas for development and enhancing participation of local communities in the economy. Further, infrastructure to support cross border trade in border areas will be put in place. Among the key measures for the effective implementation of this
strategy|will be strengthening local level capacities for planning and development of transport infrastructure. Further, the Government will take deliberate steps to ensure that at least 30 percent of bulk cargo is moved off the roads to the railway line through improvements to rail infrastructure. The volume of passengers and cargo transported by roads, rail and air are also expected to increase during the Plan period. With the above interventions, it is expected that the transport and logistics sub-sector will register an annual average growth rate of 5.5 percent from an annual average of 0.6 percent over the 2011-2020 period. a) Aviation development b) Road development and maintenance c) Rail development and maintenance d) Inland water transport development and maintenance e) Inland dry ports development f) Trade centre development g) Warehousing development 5.4.6
Strategy|6: Enhance Generation, Transmission and Distribution of Electricity In the electricity sub-sector, reforms will be implemented to make the sector more efficient and effective. Focus will be on increasing electricity generation capacity and promotion of alternative green and renewable
energy|sources as well as scaling up rural electrification. The increase in generation capacity will be anchored on the reforms that will be undertaken in the electricity sub-sector to attract private sector investments. Further, the operations of ZESCO Limited will be streamlined to promote efficiency and sustainability. As part of the diversification agenda, the Government will continue promoting investments in green and clean
energy|solutions to make the
energy|sector more resilient and supportive of industrialisation. EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 During the 8NDP period, investments will also be made to upgrade electricity transmission infrastructure in an effort to reduce transmission losses and promote trade in electricity. Some of the key projects to be implemented include the Zambia-Tanzania-Kenya (ZTK) and Zimbabwe-Zambia-Botswana-Namibia (ZIZABONA) interconnectors. The interconnector between Zambia and the Democratic Republic of Congo will also be concluded during the same period. Increased investment in the sector will result in an increase in electricity generation capacity to 4,457 megawatts (MW) by 2026 from 3,307.43 MW in 2021. The percent of renewable
energy|in the national installed electricity capacity, excluding large hydroelectricity generation, is expected to increase to 10 percent from 3 percent over the same period. This will, in part, be supported by fifteen renewable
energy|off-grid projects that will be developed by 2026, in addition to the seven developed in 2021. a) Electricity generation b) Electricity transmission and distribution c)
